target_model,draft_model,draft_len,mean_tps,std_tps,mean_speedup,std_speedup,mean_acceptance,n_runs,active_params_b
dense_0.8b,none,0,138.0398258888889,0.30139028339532004,0.9999999999999998,0.00218335745828825,,9,0.8
dense_2b,none,0,110.39624144444444,0.3227343751981325,1.0,0.002923418143366297,,9,2.0
dense_4b,draft_0.8b,4,70.93466666666667,0.6651764404800425,1.054916205015244,0.00989227748900509,0.030212499999999975,12,4.0
dense_4b,draft_0.8b,8,65.94641666666666,0.7794121862407686,0.9807326498236035,0.011591152595605453,0.010672499999999975,12,4.0
dense_4b,draft_0.8b,16,75.14983333333333,1.333051716471588,1.1176027281563519,0.0198246911406168,0.0038024999999999747,12,4.0
dense_4b,none,0,67.24199166666666,0.10945825953531382,1.0,0.0016278259584861982,,9,4.0
dense_9b,draft_0.8b,4,32.781083333333335,0.38082552873111597,0.98021220231698,0.011387354908935379,0.022514999999999997,12,9.0
dense_9b,draft_0.8b,8,54.95633333333333,0.6524466308140493,1.6432912841887795,0.019509304875053424,0.009019999999999974,12,9.0
dense_9b,draft_0.8b,16,67.74716666666667,1.307398307071465,2.0257597579621023,0.03909351502660367,0.0040099999999999745,12,9.0
dense_9b,none,0,33.442843555555555,0.03740008004039088,1.0,0.0011183283496291384,,9,9.0
moe_q4,draft_0.8b,4,63.36766666666667,0.797508430657438,1.1479287541643513,0.01444716063250185,0.025692499999999997,12,3.0
moe_q4,draft_0.8b,8,65.20075,0.6788037773773943,1.1811357377539753,0.012296781868043515,0.01082999999999995,12,3.0
moe_q4,draft_0.8b,16,69.72116666666666,0.3759537769783049,1.2630247601124405,0.006810541929849684,0.0023825,12,3.0
moe_q4,draft_2b,4,56.59833333333333,0.331318394883047,1.025299773350952,0.006001955449464249,0.03988,12,3.0
moe_q4,draft_2b,8,58.078916666666665,0.7674638822811518,1.0521210888683794,0.013902892509636439,0.0172825,12,3.0
moe_q4,draft_2b,16,61.74425,1.086780995333551,1.118519959905613,0.01968744029325278,0.009022499999999975,12,3.0
moe_q4,none,0,55.27768488888889,0.07574108577490221,1.0013757375884411,0.0013720778246420508,,9,3.0
moe_q8,draft_0.8b,4,57.47016666666667,1.004899527617593,1.1506187958906993,0.02011924362713093,0.026967499999999974,12,3.0
moe_q8,draft_0.8b,8,60.86991666666666,0.35106499225624777,1.2186856987416752,0.007028724677486436,0.00980999999999995,12,3.0
moe_q8,draft_0.8b,16,64.79608333333333,0.6009971196925805,1.2972920683502467,0.012032653153858933,0.0024475,12,3.0
moe_q8,draft_2b,4,51.34525,0.13906514170116013,1.0279909239235474,0.0027842439856254307,0.036175,12,3.0
moe_q8,draft_2b,8,54.32458333333333,0.38797456766070826,1.0876406018588882,0.007767696802885725,0.019785,12,3.0
moe_q8,draft_2b,16,57.96333333333334,0.8254397542393901,1.1604925594290005,0.016526252683622667,0.0088775,12,3.0
moe_q8,none,0,49.94718222222222,0.0968792157208878,1.0,0.0019396332567842716,,9,3.0
